Party;Voting ID;Yes;No;Unregistered;Refrained;Excused;Max
ANO;70214;0;70;0;5;3;N
ODS;70214;20;0;1;2;0;Y
Piráti;70214;21;0;0;0;1;Y
SPD;70214;17;0;0;0;2;Y
ČSSD;70214;0;9;0;5;1;N
KSČM;70214;0;12;0;3;0;N
KDU-ČSL;70214;9;0;0;1;0;Y
TOP09;70214;5;0;0;0;2;Y
STAN;70214;4;0;0;2;0;Y
Nezařaz;70214;5;0;0;0;0;Y
ANO;70215;0;71;0;4;3;N
ODS;70215;21;0;1;1;0;Y
Piráti;70215;21;0;0;0;1;Y
SPD;70215;17;0;0;0;2;Y
ČSSD;70215;0;11;0;3;1;N
KSČM;70215;0;10;0;5;0;N
KDU-ČSL;70215;10;0;0;0;0;Y
TOP09;70215;5;0;0;0;2;Y
STAN;70215;4;0;0;2;0;Y
Nezařaz;70215;5;0;0;0;0;Y
ANO;70216;0;69;0;6;3;N
ODS;70216;21;0;1;1;0;Y
Piráti;70216;21;0;0;0;1;Y
SPD;70216;17;0;0;0;2;Y
ČSSD;70216;1;9;0;4;1;N
KSČM;70216;0;11;0;4;0;N
KDU-ČSL;70216;10;0;0;0;0;Y
TOP09;70216;5;0;0;0;2;Y
STAN;70216;4;0;0;2;0;Y
Nezařaz;70216;4;0;0;1;0;Y
ANO;70217;0;68;0;7;3;N
ODS;70217;21;0;1;1;0;Y
Piráti;70217;21;0;0;0;1;Y
SPD;70217;17;0;0;0;2;Y
ČSSD;70217;0;10;0;4;1;N
KSČM;70217;0;12;0;3;0;N
KDU-ČSL;70217;10;0;0;0;0;Y
TOP09;70217;5;0;0;0;2;Y
STAN;70217;4;0;0;2;0;Y
Nezařaz;70217;5;0;0;0;0;Y
ANO;70218;0;69;0;6;3;N
ODS;70218;21;0;1;1;0;Y
Piráti;70218;21;0;0;0;1;Y
SPD;70218;17;0;0;0;2;Y
ČSSD;70218;0;11;0;3;1;N
KSČM;70218;0;10;0;5;0;N
KDU-ČSL;70218;9;0;0;1;0;Y
TOP09;70218;5;0;0;0;2;Y
STAN;70218;4;0;0;2;0;Y
Nezařaz;70218;4;0;0;1;0;Y
ANO;70219;0;66;0;9;3;N
ODS;70219;20;0;1;2;0;Y
Piráti;70219;21;0;0;0;1;Y
SPD;70219;17;0;0;0;2;Y
ČSSD;70219;0;9;0;5;1;N
KSČM;70219;0;12;0;3;0;N
KDU-ČSL;70219;10;0;0;0;0;Y
TOP09;70219;4;0;0;1;2;Y
STAN;70219;4;0;0;2;0;Y
Nezařaz;70219;5;0;0;0;0;Y
ANO;70220;0;64;0;11;3;N
ODS;70220;19;0;1;3;0;Y
Piráti;70220;20;0;0;1;1;Y
SPD;70220;17;0;0;0;2;Y
ČSSD;70220;0;9;0;5;1;N
KSČM;70220;0;11;0;4;0;N
KDU-ČSL;70220;10;0;0;0;0;Y
TOP09;70220;4;0;0;1;2;Y
STAN;70220;4;0;0;2;0;Y
Nezařaz;70220;4;0;0;1;0;Y
ANO;70221;0;68;0;7;3;N
ODS;70221;21;0;1;1;0;Y
Piráti;70221;21;0;0;0;1;Y
SPD;70221;17;0;0;0;2;Y
ČSSD;70221;0;9;0;5;1;N
KSČM;70221;0;11;0;4;0;N
KDU-ČSL;70221;10;0;0;0;0;Y
TOP09;70221;4;0;0;1;2;Y
STAN;70221;4;0;0;2;0;Y
Nezařaz;70221;4;0;0;1;0;Y
ANO;70222;0;70;0;5;3;N
ODS;70222;21;0;1;1;0;Y
Piráti;70222;21;0;0;0;1;Y
SPD;70222;17;0;0;0;2;Y
ČSSD;70222;0;9;0;5;1;N
KSČM;70222;0;12;0;3;0;N
KDU-ČSL;70222;9;0;0;1;0;Y
TOP09;70222;5;0;0;0;2;Y
STAN;70222;5;0;0;1;0;Y
Nezařaz;70222;5;0;0;0;0;Y
ANO;70223;0;65;0;10;3;N
ODS;70223;22;0;0;1;0;Y
Piráti;70223;21;0;0;0;1;Y
SPD;70223;17;0;0;0;2;Y
ČSSD;70223;0;7;0;7;1;O
KSČM;70223;0;12;0;3;0;N
KDU-ČSL;70223;9;0;0;1;0;Y
TOP09;70223;3;0;0;2;2;O
STAN;70223;4;0;0;2;0;Y
Nezařaz;70223;4;0;0;1;0;Y
ANO;70224;0;64;0;11;3;N
ODS;70224;21;0;0;2;0;Y
Piráti;70224;21;0;0;0;1;Y
SPD;70224;17;0;0;0;2;Y
ČSSD;70224;0;9;0;5;1;N
KSČM;70224;0;11;0;4;0;N
KDU-ČSL;70224;7;0;0;3;0;Y
TOP09;70224;4;0;0;1;2;Y
STAN;70224;4;0;0;2;0;Y
Nezařaz;70224;3;0;0;2;0;Y
ANO;70225;0;66;0;9;3;N
ODS;70225;22;0;0;1;0;Y
Piráti;70225;20;0;0;1;1;Y
SPD;70225;17;0;0;0;2;Y
ČSSD;70225;0;8;0;6;1;N
KSČM;70225;0;10;0;5;0;N
KDU-ČSL;70225;7;0;0;3;0;Y
TOP09;70225;5;0;0;0;2;Y
STAN;70225;4;0;0;2;0;Y
Nezařaz;70225;5;0;0;0;0;Y
ANO;70226;0;65;0;10;3;N
ODS;70226;22;0;0;1;0;Y
Piráti;70226;21;0;0;0;1;Y
SPD;70226;17;0;0;0;2;Y
ČSSD;70226;0;8;0;6;1;N
KSČM;70226;0;12;0;3;0;N
KDU-ČSL;70226;8;0;0;2;0;Y
TOP09;70226;5;0;0;0;2;Y
STAN;70226;4;0;1;1;0;Y
Nezařaz;70226;4;0;0;1;0;Y
ANO;70227;0;66;0;9;3;N
ODS;70227;22;0;0;1;0;Y
Piráti;70227;21;0;0;0;1;Y
SPD;70227;17;0;0;0;2;Y
ČSSD;70227;0;8;0;6;1;N
KSČM;70227;0;10;0;5;0;N
KDU-ČSL;70227;8;0;0;2;0;Y
TOP09;70227;5;0;0;0;2;Y
STAN;70227;5;0;0;1;0;Y
Nezařaz;70227;5;0;0;0;0;Y
ANO;70228;0;63;0;12;3;N
ODS;70228;20;0;0;3;0;Y
Piráti;70228;21;0;0;0;1;Y
SPD;70228;17;0;0;0;2;Y
ČSSD;70228;0;7;0;7;1;O
KSČM;70228;0;12;0;3;0;N
KDU-ČSL;70228;7;0;0;3;0;Y
TOP09;70228;5;0;0;0;2;Y
STAN;70228;5;0;0;1;0;Y
Nezařaz;70228;4;0;0;1;0;Y
ANO;70229;0;68;0;7;3;N
ODS;70229;20;0;0;3;0;Y
Piráti;70229;21;0;0;0;1;Y
SPD;70229;17;0;0;0;2;Y
ČSSD;70229;0;10;0;4;1;N
KSČM;70229;0;11;0;4;0;N
KDU-ČSL;70229;7;0;0;3;0;Y
TOP09;70229;5;0;0;0;2;Y
STAN;70229;5;0;0;1;0;Y
Nezařaz;70229;4;0;1;0;0;Y
ANO;70230;0;65;0;10;3;N
ODS;70230;21;0;0;2;0;Y
Piráti;70230;19;0;0;2;1;Y
SPD;70230;17;0;0;0;2;Y
ČSSD;70230;0;9;0;5;1;N
KSČM;70230;0;11;0;4;0;N
KDU-ČSL;70230;8;0;0;2;0;Y
TOP09;70230;5;0;0;0;2;Y
STAN;70230;5;0;0;1;0;Y
Nezařaz;70230;5;0;0;0;0;Y
ANO;70231;0;65;0;10;3;N
ODS;70231;20;0;0;3;0;Y
Piráti;70231;19;0;0;2;1;Y
SPD;70231;16;0;0;1;2;Y
ČSSD;70231;0;8;0;6;1;N
KSČM;70231;0;11;0;4;0;N
KDU-ČSL;70231;8;0;0;2;0;Y
TOP09;70231;5;0;0;0;2;Y
STAN;70231;5;0;0;1;0;Y
Nezařaz;70231;4;0;0;1;0;Y
ANO;70232;0;64;0;11;3;N
ODS;70232;21;0;0;2;0;Y
Piráti;70232;20;0;0;1;1;Y
SPD;70232;16;0;0;1;2;Y
ČSSD;70232;0;8;0;6;1;N
KSČM;70232;0;11;0;4;0;N
KDU-ČSL;70232;8;0;0;2;0;Y
TOP09;70232;5;0;0;0;2;Y
STAN;70232;5;0;0;1;0;Y
Nezařaz;70232;5;0;0;0;0;Y
ANO;70233;0;63;0;12;3;N
ODS;70233;19;0;0;4;0;Y
Piráti;70233;18;0;0;3;1;Y
SPD;70233;13;0;1;3;2;Y
ČSSD;70233;0;7;1;6;1;O
KSČM;70233;0;5;0;10;0;O
KDU-ČSL;70233;8;0;0;2;0;Y
TOP09;70233;3;0;1;1;2;O
STAN;70233;2;0;0;4;0;O
Nezařaz;70233;3;0;0;2;0;Y
ANO;70234;0;65;9;1;3;N
ODS;70234;20;0;3;0;0;Y
Piráti;70234;20;0;1;0;1;Y
SPD;70234;14;0;3;0;2;Y
ČSSD;70234;0;7;4;3;1;O
KSČM;70234;0;4;5;5;1;O
KDU-ČSL;70234;9;0;0;0;1;Y
TOP09;70234;3;0;1;1;2;O
STAN;70234;3;0;3;0;0;Y
Nezařaz;70234;3;0;2;0;0;Y
ANO;70235;0;67;6;2;3;N
ODS;70235;22;0;1;0;0;Y
Piráti;70235;18;0;1;2;1;Y
SPD;70235;14;0;3;0;2;Y
ČSSD;70235;0;6;3;5;1;O
KSČM;70235;0;3;5;6;1;O
KDU-ČSL;70235;7;1;0;1;1;Y
TOP09;70235;4;0;1;0;2;Y
STAN;70235;4;0;1;1;0;Y
Nezařaz;70235;3;0;2;0;0;Y
ANO;70236;0;65;4;6;3;N
ODS;70236;22;0;0;1;0;Y
Piráti;70236;20;0;1;0;1;Y
SPD;70236;14;0;2;1;2;Y
ČSSD;70236;0;10;1;3;1;N
KSČM;70236;0;6;5;3;1;O
KDU-ČSL;70236;8;0;0;1;1;Y
TOP09;70236;4;0;1;0;2;Y
STAN;70236;5;0;1;0;0;Y
Nezařaz;70236;3;0;2;0;0;Y
ANO;70237;0;68;3;4;3;N
ODS;70237;22;0;0;1;0;Y
Piráti;70237;21;0;0;0;1;Y
SPD;70237;15;0;2;0;2;Y
ČSSD;70237;0;8;1;5;1;N
KSČM;70237;0;5;5;5;0;O
KDU-ČSL;70237;8;0;0;1;1;Y
TOP09;70237;4;0;1;0;2;Y
STAN;70237;5;0;1;0;0;Y
Nezařaz;70237;3;0;2;0;0;Y
ANO;70238;0;61;2;12;3;N
ODS;70238;23;0;0;0;0;Y
Piráti;70238;21;0;0;0;1;Y
SPD;70238;15;0;2;0;2;Y
ČSSD;70238;0;10;1;3;1;N
KSČM;70238;0;6;5;4;0;O
KDU-ČSL;70238;8;0;0;1;1;Y
TOP09;70238;4;0;1;0;2;Y
STAN;70238;4;0;1;1;0;Y
Nezařaz;70238;4;0;1;0;0;Y
ANO;70239;0;68;1;6;3;N
ODS;70239;22;0;0;1;0;Y
Piráti;70239;20;0;0;1;1;Y
SPD;70239;15;0;2;0;2;Y
ČSSD;70239;0;10;1;3;1;N
KSČM;70239;0;11;2;2;0;N
KDU-ČSL;70239;8;0;0;1;1;Y
TOP09;70239;4;0;1;0;2;Y
STAN;70239;5;0;1;0;0;Y
Nezařaz;70239;4;0;1;0;0;Y
ANO;70240;0;66;1;8;3;N
ODS;70240;23;0;0;0;0;Y
Piráti;70240;21;0;0;0;1;Y
SPD;70240;15;0;2;0;2;Y
ČSSD;70240;0;10;1;3;1;N
KSČM;70240;0;10;2;3;0;N
KDU-ČSL;70240;8;0;0;1;1;Y
TOP09;70240;3;0;1;1;2;O
STAN;70240;6;0;0;0;0;Y
Nezařaz;70240;4;0;1;0;0;Y
ANO;70241;0;63;1;11;3;N
ODS;70241;23;0;0;0;0;Y
Piráti;70241;21;0;0;0;1;Y
SPD;70241;14;0;2;1;2;Y
ČSSD;70241;0;9;1;4;1;N
KSČM;70241;0;11;2;2;0;N
KDU-ČSL;70241;8;0;0;1;1;Y
TOP09;70241;4;0;1;0;2;Y
STAN;70241;5;0;0;1;0;Y
Nezařaz;70241;4;0;1;0;0;Y
ANO;70242;0;66;1;8;3;N
ODS;70242;22;0;0;1;0;Y
Piráti;70242;20;0;0;1;1;Y
SPD;70242;15;0;2;0;2;Y
ČSSD;70242;0;10;1;3;1;N
KSČM;70242;0;8;2;5;0;N
KDU-ČSL;70242;8;0;0;1;1;Y
TOP09;70242;4;0;1;0;2;Y
STAN;70242;6;0;0;0;0;Y
Nezařaz;70242;4;0;1;0;0;Y
ANO;70243;0;67;1;7;3;N
ODS;70243;23;0;0;0;0;Y
Piráti;70243;21;0;0;0;1;Y
SPD;70243;16;0;1;0;2;Y
ČSSD;70243;0;9;1;4;1;N
KSČM;70243;0;6;2;7;0;O
KDU-ČSL;70243;8;0;0;1;1;Y
TOP09;70243;3;0;1;1;2;O
STAN;70243;5;0;0;1;0;Y
Nezařaz;70243;4;0;1;0;0;Y
ANO;70244;0;68;1;6;3;N
ODS;70244;22;0;1;0;0;Y
Piráti;70244;20;0;0;1;1;Y
SPD;70244;16;0;1;0;2;Y
ČSSD;70244;0;7;1;6;1;O
KSČM;70244;0;6;2;7;0;O
KDU-ČSL;70244;8;0;0;1;1;Y
TOP09;70244;4;0;1;0;2;Y
STAN;70244;6;0;0;0;0;Y
Nezařaz;70244;5;0;0;0;0;Y
ANO;70245;0;67;0;8;3;N
ODS;70245;20;0;1;2;0;Y
Piráti;70245;20;0;0;1;1;Y
SPD;70245;15;0;1;1;2;Y
ČSSD;70245;0;9;1;4;1;N
KSČM;70245;0;6;2;7;0;O
KDU-ČSL;70245;9;0;0;0;1;Y
TOP09;70245;4;0;1;0;2;Y
STAN;70245;6;0;0;0;0;Y
Nezařaz;70245;5;0;0;0;0;Y
ANO;70246;0;72;0;3;3;N
ODS;70246;20;0;1;2;0;Y
Piráti;70246;21;0;0;0;1;Y
SPD;70246;16;0;1;0;2;Y
ČSSD;70246;0;11;1;2;1;N
KSČM;70246;0;11;2;2;0;N
KDU-ČSL;70246;9;0;0;0;1;Y
TOP09;70246;4;0;1;0;2;Y
STAN;70246;6;0;0;0;0;Y
Nezařaz;70246;5;0;0;0;0;Y
ANO;70247;0;69;0;6;3;N
ODS;70247;21;0;1;1;0;Y
Piráti;70247;21;0;0;0;1;Y
SPD;70247;15;0;1;1;2;Y
ČSSD;70247;0;9;1;4;1;N
KSČM;70247;0;9;2;4;0;N
KDU-ČSL;70247;9;0;0;0;1;Y
TOP09;70247;3;0;1;1;2;O
STAN;70247;5;0;0;1;0;Y
Nezařaz;70247;5;0;0;0;0;Y
ANO;70248;0;62;0;13;3;N
ODS;70248;22;0;1;0;0;Y
Piráti;70248;21;0;0;0;1;Y
SPD;70248;17;0;0;0;2;Y
ČSSD;70248;0;9;1;4;1;N
KSČM;70248;0;8;2;5;0;N
KDU-ČSL;70248;9;0;0;0;1;Y
TOP09;70248;4;0;1;0;2;Y
STAN;70248;6;0;0;0;0;Y
Nezařaz;70248;5;0;0;0;0;Y
ANO;70249;0;65;0;10;3;N
ODS;70249;22;0;1;0;0;Y
Piráti;70249;21;0;0;0;1;Y
SPD;70249;15;0;0;2;2;Y
ČSSD;70249;0;7;1;6;1;O
KSČM;70249;1;7;1;6;0;N
KDU-ČSL;70249;9;0;0;0;1;Y
TOP09;70249;4;0;1;0;2;Y
STAN;70249;6;0;0;0;0;Y
Nezařaz;70249;4;0;0;1;0;Y
ANO;70250;0;67;0;8;3;N
ODS;70250;22;0;1;0;0;Y
Piráti;70250;20;0;0;1;1;Y
SPD;70250;17;0;0;0;2;Y
ČSSD;70250;0;8;1;5;1;N
KSČM;70250;0;10;1;4;0;N
KDU-ČSL;70250;9;0;0;0;1;Y
TOP09;70250;3;0;1;1;2;O
STAN;70250;6;0;0;0;0;Y
Nezařaz;70250;5;0;0;0;0;Y
ANO;70251;0;64;0;11;3;N
ODS;70251;22;0;1;0;0;Y
Piráti;70251;21;0;0;0;1;Y
SPD;70251;17;0;0;0;2;Y
ČSSD;70251;0;8;1;5;1;N
KSČM;70251;0;9;1;5;0;N
KDU-ČSL;70251;9;0;0;0;1;Y
TOP09;70251;4;0;1;0;2;Y
STAN;70251;6;0;0;0;0;Y
Nezařaz;70251;4;0;0;1;0;Y
ANO;70252;0;67;0;8;3;N
ODS;70252;21;0;1;1;0;Y
Piráti;70252;21;0;0;0;1;Y
SPD;70252;17;0;0;0;2;Y
ČSSD;70252;0;9;1;4;1;N
KSČM;70252;0;8;1;6;0;N
KDU-ČSL;70252;9;0;0;0;1;Y
TOP09;70252;4;0;1;0;2;Y
STAN;70252;6;0;0;0;0;Y
Nezařaz;70252;5;0;0;0;0;Y
ANO;70253;0;67;0;8;3;N
ODS;70253;22;0;1;0;0;Y
Piráti;70253;21;0;0;0;1;Y
SPD;70253;17;0;0;0;2;Y
ČSSD;70253;0;8;1;5;1;N
KSČM;70253;0;11;1;3;0;N
KDU-ČSL;70253;8;0;0;1;1;Y
TOP09;70253;4;0;1;0;2;Y
STAN;70253;5;0;0;1;0;Y
Nezařaz;70253;5;0;0;0;0;Y
ANO;70254;0;64;0;11;3;N
ODS;70254;23;0;0;0;0;Y
Piráti;70254;20;0;0;1;1;Y
SPD;70254;15;0;0;2;2;Y
ČSSD;70254;0;9;0;5;1;N
KSČM;70254;0;8;1;6;0;N
KDU-ČSL;70254;8;0;0;1;1;Y
TOP09;70254;4;0;1;0;2;Y
STAN;70254;5;0;0;1;0;Y
Nezařaz;70254;4;0;0;1;0;Y
ANO;70255;0;67;0;8;3;N
ODS;70255;23;0;0;0;0;Y
Piráti;70255;21;0;0;0;1;Y
SPD;70255;17;0;0;0;2;Y
ČSSD;70255;0;7;0;7;1;O
KSČM;70255;0;8;1;6;0;N
KDU-ČSL;70255;8;0;0;1;1;Y
TOP09;70255;4;0;1;0;2;Y
STAN;70255;5;0;0;1;0;Y
Nezařaz;70255;3;0;0;2;0;Y
ANO;70256;0;65;0;10;3;N
ODS;70256;22;0;0;1;0;Y
Piráti;70256;21;0;0;0;1;Y
SPD;70256;16;0;0;1;2;Y
ČSSD;70256;0;8;0;6;1;N
KSČM;70256;0;11;1;3;0;N
KDU-ČSL;70256;8;0;0;1;1;Y
TOP09;70256;4;0;1;0;2;Y
STAN;70256;6;0;0;0;0;Y
Nezařaz;70256;3;0;0;2;0;Y
ANO;70257;0;62;0;13;3;N
ODS;70257;23;0;0;0;0;Y
Piráti;70257;19;0;0;2;1;Y
SPD;70257;17;0;0;0;2;Y
ČSSD;70257;0;9;0;5;1;N
KSČM;70257;0;9;1;5;0;N
KDU-ČSL;70257;9;0;0;0;1;Y
TOP09;70257;4;0;1;0;2;Y
STAN;70257;6;0;0;0;0;Y
Nezařaz;70257;3;0;0;2;0;Y
ANO;70258;0;67;0;8;3;N
ODS;70258;23;0;0;0;0;Y
Piráti;70258;21;0;0;0;1;Y
SPD;70258;17;0;0;0;2;Y
ČSSD;70258;1;7;0;6;1;N
KSČM;70258;0;10;1;4;0;N
KDU-ČSL;70258;7;0;0;2;1;Y
TOP09;70258;4;0;1;0;2;Y
STAN;70258;6;0;0;0;0;Y
Nezařaz;70258;4;0;0;1;0;Y
ANO;70259;0;62;0;13;3;N
ODS;70259;22;0;0;1;0;Y
Piráti;70259;21;0;0;0;1;Y
SPD;70259;15;0;0;2;2;Y
ČSSD;70259;0;7;0;7;1;O
KSČM;70259;0;9;1;5;0;N
KDU-ČSL;70259;9;0;0;0;1;Y
TOP09;70259;4;0;1;0;2;Y
STAN;70259;6;0;0;0;0;Y
Nezařaz;70259;4;0;0;1;0;Y
ANO;70260;0;62;0;13;3;N
ODS;70260;21;0;0;2;0;Y
Piráti;70260;21;0;0;0;1;Y
SPD;70260;13;0;0;4;2;Y
ČSSD;70260;0;4;0;10;1;O
KSČM;70260;0;9;1;5;0;N
KDU-ČSL;70260;9;0;0;0;1;Y
TOP09;70260;4;0;1;0;2;Y
STAN;70260;6;0;0;0;0;Y
Nezařaz;70260;4;0;0;1;0;Y
ANO;70261;0;64;0;11;3;N
ODS;70261;22;0;0;1;0;Y
Piráti;70261;20;0;0;1;1;Y
SPD;70261;17;0;0;0;2;Y
ČSSD;70261;0;6;0;8;1;O
KSČM;70261;0;6;1;8;0;O
KDU-ČSL;70261;9;0;0;0;1;Y
TOP09;70261;2;0;1;2;2;O
STAN;70261;5;0;0;1;0;Y
Nezařaz;70261;4;0;0;1;0;Y
ANO;70262;0;67;0;8;3;N
ODS;70262;21;0;0;2;0;Y
Piráti;70262;21;0;0;0;1;Y
SPD;70262;17;0;0;0;2;Y
ČSSD;70262;0;6;0;8;1;O
KSČM;70262;0;9;1;5;0;N
KDU-ČSL;70262;9;0;0;0;1;Y
TOP09;70262;4;0;1;0;2;Y
STAN;70262;6;0;0;0;0;Y
Nezařaz;70262;4;0;0;1;0;Y
ANO;70263;0;66;0;9;3;N
ODS;70263;23;0;0;0;0;Y
Piráti;70263;21;0;0;0;1;Y
SPD;70263;17;0;0;0;2;Y
ČSSD;70263;0;7;0;7;1;O
KSČM;70263;0;11;1;3;0;N
KDU-ČSL;70263;9;0;0;0;1;Y
TOP09;70263;4;0;1;0;2;Y
STAN;70263;5;0;0;1;0;Y
Nezařaz;70263;3;0;0;2;0;Y
ANO;70264;0;63;0;12;3;N
ODS;70264;21;0;0;2;0;Y
Piráti;70264;21;0;0;0;1;Y
SPD;70264;15;0;0;2;2;Y
ČSSD;70264;0;3;0;11;1;O
KSČM;70264;0;7;1;7;0;O
KDU-ČSL;70264;9;0;0;0;1;Y
TOP09;70264;3;0;1;1;2;O
STAN;70264;6;0;0;0;0;Y
Nezařaz;70264;4;0;0;1;0;Y
ANO;70265;0;66;0;9;3;N
ODS;70265;23;0;0;0;0;Y
Piráti;70265;21;0;0;0;1;Y
SPD;70265;17;0;0;0;2;Y
ČSSD;70265;0;5;0;9;1;O
KSČM;70265;0;10;1;4;0;N
KDU-ČSL;70265;9;0;0;0;1;Y
TOP09;70265;4;0;1;0;2;Y
STAN;70265;6;0;0;0;0;Y
Nezařaz;70265;4;0;0;1;0;Y
ANO;70266;0;63;0;12;3;N
ODS;70266;22;0;0;1;0;Y
Piráti;70266;21;0;0;0;1;Y
SPD;70266;17;0;0;0;2;Y
ČSSD;70266;0;5;0;9;1;O
KSČM;70266;0;10;1;4;0;N
KDU-ČSL;70266;9;0;0;0;1;Y
TOP09;70266;4;0;1;0;2;Y
STAN;70266;6;0;0;0;0;Y
Nezařaz;70266;4;0;0;1;0;Y
ANO;70267;0;67;0;8;3;N
ODS;70267;22;0;0;1;0;Y
Piráti;70267;21;0;0;0;1;Y
SPD;70267;17;0;0;0;2;Y
ČSSD;70267;0;5;0;9;1;O
KSČM;70267;0;6;1;8;0;O
KDU-ČSL;70267;8;0;0;1;1;Y
TOP09;70267;4;0;1;0;2;Y
STAN;70267;5;0;0;1;0;Y
Nezařaz;70267;4;0;0;1;0;Y
ANO;70268;0;65;0;10;3;N
ODS;70268;19;0;0;4;0;Y
Piráti;70268;20;0;0;1;1;Y
SPD;70268;15;0;0;2;2;Y
ČSSD;70268;0;8;0;6;1;N
KSČM;70268;0;10;1;4;0;N
KDU-ČSL;70268;8;0;0;1;1;Y
TOP09;70268;4;0;1;0;2;Y
STAN;70268;5;0;0;1;0;Y
Nezařaz;70268;4;0;0;1;0;Y
ANO;70269;0;68;0;7;3;N
ODS;70269;23;0;0;0;0;Y
Piráti;70269;21;0;0;0;1;Y
SPD;70269;17;0;0;0;2;Y
ČSSD;70269;0;6;0;8;1;O
KSČM;70269;0;8;1;6;0;N
KDU-ČSL;70269;9;0;0;0;1;Y
TOP09;70269;4;0;1;0;2;Y
STAN;70269;6;0;0;0;0;Y
Nezařaz;70269;4;0;0;1;0;Y
ANO;70270;0;66;0;9;3;N
ODS;70270;23;0;0;0;0;Y
Piráti;70270;20;0;0;1;1;Y
SPD;70270;17;0;0;0;2;Y
ČSSD;70270;0;7;0;7;1;O
KSČM;70270;0;8;1;6;0;N
KDU-ČSL;70270;9;0;0;0;1;Y
TOP09;70270;4;0;1;0;2;Y
STAN;70270;6;0;0;0;0;Y
Nezařaz;70270;4;0;0;1;0;Y
ANO;70271;0;70;0;5;3;N
ODS;70271;22;0;0;1;0;Y
Piráti;70271;20;0;0;1;1;Y
SPD;70271;16;0;0;1;2;Y
ČSSD;70271;0;7;0;7;1;O
KSČM;70271;0;9;1;5;0;N
KDU-ČSL;70271;8;0;0;1;1;Y
TOP09;70271;4;0;1;0;2;Y
STAN;70271;5;0;0;1;0;Y
Nezařaz;70271;4;0;0;1;0;Y
ANO;70272;0;69;0;6;3;N
ODS;70272;22;0;0;1;0;Y
Piráti;70272;21;0;0;0;1;Y
SPD;70272;15;0;0;2;2;Y
ČSSD;70272;0;3;0;11;1;O
KSČM;70272;0;9;1;5;0;N
KDU-ČSL;70272;8;0;0;1;1;Y
TOP09;70272;4;0;1;0;2;Y
STAN;70272;6;0;0;0;0;Y
Nezařaz;70272;4;0;0;1;0;Y
ANO;70273;0;65;0;10;3;N
ODS;70273;22;0;0;1;0;Y
Piráti;70273;20;0;0;1;1;Y
SPD;70273;16;0;0;1;2;Y
ČSSD;70273;0;7;0;7;1;O
KSČM;70273;0;9;1;5;0;N
KDU-ČSL;70273;7;0;0;2;1;Y
TOP09;70273;4;0;1;0;2;Y
STAN;70273;6;0;0;0;0;Y
Nezařaz;70273;4;0;0;1;0;Y
ANO;70274;0;63;0;12;3;N
ODS;70274;21;0;0;2;0;Y
Piráti;70274;21;0;0;0;1;Y
SPD;70274;14;0;0;3;2;Y
ČSSD;70274;0;7;0;7;1;O
KSČM;70274;0;10;1;4;0;N
KDU-ČSL;70274;8;0;0;1;1;Y
TOP09;70274;4;0;1;0;2;Y
STAN;70274;6;0;0;0;0;Y
Nezařaz;70274;4;0;0;1;0;Y
ANO;70275;0;68;0;7;3;N
ODS;70275;23;0;0;0;0;Y
Piráti;70275;21;0;0;0;1;Y
SPD;70275;16;0;0;1;2;Y
ČSSD;70275;0;9;0;5;1;N
KSČM;70275;0;9;1;5;0;N
KDU-ČSL;70275;8;0;0;1;1;Y
TOP09;70275;4;0;1;0;2;Y
STAN;70275;6;0;0;0;0;Y
Nezařaz;70275;4;0;0;1;0;Y
ANO;70276;0;65;0;10;3;N
ODS;70276;23;0;0;0;0;Y
Piráti;70276;21;0;0;0;1;Y
SPD;70276;15;0;0;2;2;Y
ČSSD;70276;0;8;0;6;1;N
KSČM;70276;0;12;1;2;0;N
KDU-ČSL;70276;7;0;0;2;1;Y
TOP09;70276;4;0;1;0;2;Y
STAN;70276;4;0;0;2;0;Y
Nezařaz;70276;4;0;0;1;0;Y
ANO;70277;0;64;0;11;3;N
ODS;70277;22;0;0;1;0;Y
Piráti;70277;21;0;0;0;1;Y
SPD;70277;16;0;0;1;2;Y
ČSSD;70277;0;10;0;4;1;N
KSČM;70277;0;11;1;3;0;N
KDU-ČSL;70277;8;0;0;1;1;Y
TOP09;70277;3;0;1;1;2;O
STAN;70277;5;0;0;1;0;Y
Nezařaz;70277;4;0;0;1;0;Y
ANO;70278;0;61;0;14;3;N
ODS;70278;23;0;0;0;0;Y
Piráti;70278;21;0;0;0;1;Y
SPD;70278;15;0;0;2;2;Y
ČSSD;70278;0;8;0;6;1;N
KSČM;70278;0;9;1;5;0;N
KDU-ČSL;70278;8;0;0;1;1;Y
TOP09;70278;4;0;1;0;2;Y
STAN;70278;6;0;0;0;0;Y
Nezařaz;70278;4;0;0;1;0;Y
ANO;70279;0;66;0;9;3;N
ODS;70279;23;0;0;0;0;Y
Piráti;70279;21;0;0;0;1;Y
SPD;70279;16;0;0;1;2;Y
ČSSD;70279;0;7;0;7;1;O
KSČM;70279;0;8;1;6;0;N
KDU-ČSL;70279;8;0;0;1;1;Y
TOP09;70279;3;0;1;1;2;O
STAN;70279;6;0;0;0;0;Y
Nezařaz;70279;4;0;0;1;0;Y
ANO;70280;0;63;0;12;3;N
ODS;70280;22;0;0;1;0;Y
Piráti;70280;21;0;0;0;1;Y
SPD;70280;16;0;0;1;2;Y
ČSSD;70280;0;6;0;8;1;O
